# Data file used in MS_SSM and read in MS_SSM_Read_data.R
# 
# It is important to order the modelled species so that the species that are only prey are given last
# The MS_SSM_Read_data.R script will be modified in the future to reorder the species automatically given the interaction matrix
#
#
# 2015 Updated data: 1967-2014
# Number of modelled species=sp (sp1=cod, sp2=silver hake, sp3=herring)
3
# Species names 
cod silH herr
# Interaction matrix (sp,sp) row=prey, col=predator (0=predator doesn't eat prey, 1=predator eats prey)
1 0 0
1 1 0
1 1 0
# First Year per species (1965 for herring but food habit data starts in 1973)
1973 1973 1973
# Last year
2014
# Number of Ages prey = age plus group (1st=cod, 2nd=silver hake, 3rd=herr)
10 6 10
# Min age catch (sp)
1 1 1
# Max age catch (sp)
10 6 10
# Min age Fbar (sp)
1 1 1
# Max age Fbar (sp)
10 6 10
# Month of Spawning (1st=cod, 2nd=silver hake, 3rd=herr)
2 6 10 
# Weight at age in catch kg sp1 (10 years averages taken for missing data)
0.6344	1.3829	2.3194	3.6348	4.9863	6.776	8.4159	9.8502	11.3464	14.8722
0.6344	1.3829	2.3194	3.6348	4.9863	6.776	8.4159	9.8502	11.3464	14.8722
0.6344	1.3829	2.3194	3.6348	4.9863	6.776	8.4159	9.8502	11.3464	14.8722
0.6344	1.3829	2.3194	3.6348	4.9863	6.776	8.4159	9.8502	11.3464	14.8722
0.6344	1.3829	2.3194	3.6348	4.9863	6.776	8.4159	9.8502	11.3464	14.8722
0.517	1.238	2.354	3.352	3.892	6.375	6.742	8.63	9.673	14.342
0.601	1.367	1.963	4.161	4.821	7.158	9.297	10.227	9.861	14.157
0.577	1.383	2.396	3.538	5.503	6.807	8.258	9.806	9.316	14.245
0.614	1.407	2.311	3.441	4.785	7.118	8.461	9.545	13.815	17.22
0.652	1.373	2.482	3.639	5.169	6.645	9.153	9.93	12.59	15.636
0.672	1.419	2.373	3.333	4.799	6.363	8.254	10.567	11.507	15.659
0.626	1.513	2.466	3.666	5.025	6.463	8.574	9.979	11.001	14.057
0.716	1.336	2.03	3.721	4.908	6.241	8.109	10.115	11.67	14.031
0.7	1.366	2.389	3.465	5.376	6.977	8.611	9.843	12.558	14.327
0.669	1.427	2.43	4.032	5.585	7.613	8.7	9.86	11.473	15.048
0.575	1.403	2.272	3.331	5.162	6.72	8.69	10.073	11.462	14.488
0.503	1.472	2.136	3.625	5.082	6.401	7.626	9.627	10.848	13.578
0.55	1.502	2.388	3.462	4.79	6.169	8.095	10.896	11.272	13.547
0.778	1.49	2.456	3.419	4.688	5.811	7.497	9.498	10.242	14.429
