"","svspp","seacat","year","nstom","meansw","num_tows","variance","cv","prey","totwt","relmsw","ci","relci","bottemp","tempvar","num_ctds"
"1",15,"FALL",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",15,"FALL",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15,"FALL",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",15,"FALL",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",15,"FALL",1977,241,0,38,0,0,"GADMOR",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"6",15,"FALL",1977,241,0,38,0,0,"SCOSCO",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"7",15,"FALL",1977,241,0.0837410071942446,38,0.00794724839616594,1.06456017098497,"CLUHAR",6.08755595167988,1.37560965121209,0.0289232166737088,0.475120342273444,11.0961770225763,7.01842326362957,104
"8",15,"FALL",1977,241,0,38,0,0,"MELAEG",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"9",15,"FALL",1977,241,0,38,0,0,"SQUACA",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"10",15,"FALL",1977,241,0,38,0,0,"LIMFER",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"11",15,"FALL",1977,241,0,38,0,0,"LOPAME",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"12",15,"FALL",1977,241,6.00381494448563,38,4.95095776506787,0.370610153374908,"OTHER",6.08755595167988,98.6243903487879,0.721909585027455,11.8587753567709,11.0961770225763,7.01842326362957,104
"13",15,"FALL",1977,241,0,38,0,0,"PLEAME",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"14",15,"FALL",1977,241,0,38,0,0,"MERBIL",6.08755595167988,0,0,0,11.0961770225763,7.01842326362957,104
"15",15,"FALL",1978,415,0,53,0,0,"PLEAME",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"16",15,"FALL",1978,415,0.622036062047151,53,0.14423590032659,0.610549839743955,"OTHER",0.768545669569387,80.936772748414,0.104334693781767,13.575601023193,9.94325995932833,9.28956017791732,196
"17",15,"FALL",1978,415,0,53,0,0,"MELAEG",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"18",15,"FALL",1978,415,0.00105527801834914,53,1.35992627054639e-06,1.10507254678013,"MERBIL",0.768545669569387,0.137308433334926,0.000320368451859569,0.0416850246569043,9.94325995932833,9.28956017791732,196
"19",15,"FALL",1978,415,0,53,0,0,"LOPAME",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"20",15,"FALL",1978,415,0.145454329503886,53,0.026720762142272,1.12382261648077,"CLUHAR",0.768545669569387,18.9259188182511,0.044907252128764,5.84314685605155,9.94325995932833,9.28956017791732,196
"21",15,"FALL",1978,415,0,53,0,0,"SCOSCO",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"22",15,"FALL",1978,415,0,53,0,0,"LIMFER",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"23",15,"FALL",1978,415,0,53,0,0,"GADMOR",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"24",15,"FALL",1978,415,0,53,0,0,"SQUACA",0.768545669569387,0,0,0,9.94325995932833,9.28956017791732,196
"25",15,"FALL",1979,297,0,49,0,0,"MELAEG",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"26",15,"FALL",1979,297,0,49,0,0,"GADMOR",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"27",15,"FALL",1979,297,0.038610618036706,49,0.00243722279044372,1.27861814095454,"MERBIL",0.985464511349443,3.91801202296312,0.014105210472914,1.4313260711539,11.2577868349492,6.7372756946103,159
"28",15,"FALL",1979,297,1.5880091380175e-05,49,4.19294657696579e-10,1.28945641561656,"LIMFER",0.985464511349443,0.00161143209088571,5.85048163164109e-06,0.000593677556549423,11.2577868349492,6.7372756946103,159
"29",15,"FALL",1979,297,0.936340042701322,49,0.452501214910935,0.718416467001231,"OTHER",0.985464511349443,95.015095106687,0.192194887254076,19.5029739823806,11.2577868349492,6.7372756946103,159
"30",15,"FALL",1979,297,0,49,0,0,"SCOSCO",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"31",15,"FALL",1979,297,0,49,0,0,"PLEAME",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"32",15,"FALL",1979,297,0.0104979705200355,49,0.000116437728336275,1.02787786336097,"CLUHAR",0.985464511349443,1.06528143825901,0.00308303757364587,0.312851202467365,11.2577868349492,6.7372756946103,159
"33",15,"FALL",1979,297,0,49,0,0,"LOPAME",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"34",15,"FALL",1979,297,0,49,0,0,"SQUACA",0.985464511349443,0,0,0,11.2577868349492,6.7372756946103,159
"35",15,"FALL",1980,259,0,43,0,0,"LOPAME",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"36",15,"FALL",1980,259,0,43,0,0,"SQUACA",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"37",15,"FALL",1980,259,0,43,0,0,"GADMOR",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"38",15,"FALL",1980,259,0,43,0,0,"MERBIL",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"39",15,"FALL",1980,259,0,43,0,0,"PLEAME",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"40",15,"FALL",1980,259,0,43,0,0,"MELAEG",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"41",15,"FALL",1980,259,0.964408230662327,43,0.505653825440581,0.737336512422318,"OTHER",0.964408230662327,100,0.21688145415702,22.4885527996865,10.3938430182564,8.44991797676008,133
"42",15,"FALL",1980,259,0,43,0,0,"SCOSCO",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"43",15,"FALL",1980,259,0,43,0,0,"CLUHAR",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"44",15,"FALL",1980,259,0,43,0,0,"LIMFER",0.964408230662327,0,0,0,10.3938430182564,8.44991797676008,133
"45",15,"FALL",1981,498,0,36,0,0,"LIMFER",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"46",15,"FALL",1981,498,0,36,0,0,"PLEAME",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"47",15,"FALL",1981,498,0,36,0,0,"GADMOR",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"48",15,"FALL",1981,498,1.46166787290665,36,0.455534926756111,0.461755565878705,"OTHER",1.46166787290665,100,0.224977758593578,15.3918521959568,10.7949528331999,5.99449173553719,121
"49",15,"FALL",1981,498,0,36,0,0,"SCOSCO",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"50",15,"FALL",1981,498,0,36,0,0,"LOPAME",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"51",15,"FALL",1981,498,0,36,0,0,"MERBIL",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"52",15,"FALL",1981,498,0,36,0,0,"MELAEG",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"53",15,"FALL",1981,498,0,36,0,0,"CLUHAR",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"54",15,"FALL",1981,498,0,36,0,0,"SQUACA",1.46166787290665,0,0,0,10.7949528331999,5.99449173553719,121
"55",15,"FALL",1982,541,0,57,0,0,"LOPAME",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"56",15,"FALL",1982,541,0.000758174704534858,57,7.04451150118234e-07,1.10702174206398,"MERBIL",9.55512437699915,0.00793474448495842,0.000222340208755299,0.00232692113658416,9.88147428134362,6.73535043324898,162
"57",15,"FALL",1982,541,0,57,0,0,"LIMFER",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"58",15,"FALL",1982,541,0.0862237899274936,57,0.00919405296752006,1.11205532122334,"CLUHAR",9.55512437699915,0.902382706132527,0.0254007224203386,0.26583350899631,9.88147428134362,6.73535043324898,162
"59",15,"FALL",1982,541,0,57,0,0,"SQUACA",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"60",15,"FALL",1982,541,0,57,0,0,"GADMOR",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"61",15,"FALL",1982,541,9.46814241236712,57,6.02142854916752,0.259170154157216,"OTHER",9.55512437699915,99.0896825493825,0.650043375026055,6.80308648405271,9.88147428134362,6.73535043324898,162
"62",15,"FALL",1982,541,0,57,0,0,"SCOSCO",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"63",15,"FALL",1982,541,0,57,0,0,"MELAEG",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"64",15,"FALL",1982,541,0,57,0,0,"PLEAME",9.55512437699915,0,0,0,9.88147428134362,6.73535043324898,162
"65",15,"FALL",1983,788,0.0225655490736586,85,0.000750936318999083,1.21438291714707,"SCOSCO",15.7743301018836,0.143052344713923,0.00594459247699991,0.037685229347965,10.3596826761219,8.33823549137083,212
"66",15,"FALL",1983,788,0,85,0,0,"LIMFER",15.7743301018836,0,0,0,10.3596826761219,8.33823549137083,212
"67",15,"FALL",1983,788,0,85,0,0,"MELAEG",15.7743301018836,0,0,0,10.3596826761219,8.33823549137083,212
"68",15,"FALL",1983,788,0,85,0,0,"SQUACA",15.7743301018836,0,0,0,10.3596826761219,8.33823549137083,212
"69",15,"FALL",1983,788,15.7428441091917,85,15.7026789168544,0.251711860839039,"OTHER",15.7743301018836,99.8003972752663,0.859621775019262,5.44949781998423,10.3596826761219,8.33823549137083,212
"70",15,"FALL",1983,788,0,85,0,0,"LOPAME",15.7743301018836,0,0,0,10.3596826761219,8.33823549137083,212
